s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS,ZONE_1
 1.1124438E+001, 0.0000000E+000,-2.2885514E-002,-2.7950085E-001,-2.7604801E-002,-1.9362466E-002, 1.2105704E+000, 0.0000000E+000, 8.6134337E-001, 8.6121677E-001, 0.0000000E+000, 3.6500000E-002, 0.0000000E+000, 5.6006736E+002
 1.1180340E+001, 0.0000000E+000,-2.3023445E-002,-2.7960515E-001,-2.7754641E-002,-1.9246917E-002, 1.2104458E+000, 0.0000000E+000, 8.6094397E-001, 8.6081567E-001, 0.0000000E+000, 3.6500000E-002, 0.0000000E+000, 5.6303417E+002
 1.1236241E+001, 0.0000000E+000,-2.3102598E-002,-2.7972075E-001,-2.7905731E-002,-1.9128859E-002, 1.2103208E+000, 0.0000000E+000, 8.6053728E-001, 8.6046283E-001, 0.0000000E+000, 3.6500000E-002, 0.0000000E+000, 5.6600066E+002
 1.1292143E+001, 0.0000000E+000,-2.3240456E-002,-2.7982718E-001,-2.8058672E-002,-1.9021435E-002, 1.2101851E+000, 0.0000000E+000, 8.6019325E-001, 8.6003739E-001, 0.0000000E+000, 3.6500000E-002, 0.0000000E+000, 5.6896688E+002
 1.1348045E+001, 0.0000000E+000,-2.3378275E-002,-2.7990461E-001,-2.8212758E-002,-1.8937119E-002, 1.2100294E+000, 0.0000000E+000, 8.5976602E-001, 8.5959665E-001, 0.0000000E+000, 3.6500000E-002, 0.0000000E+000, 5.7193274E+002
 1.1403947E+001, 0.0000000E+000,-2.3457331E-002,-2.7995654E-001,-2.8369317E-002,-1.8872820E-002, 1.2098853E+000, 0.0000000E+000, 8.5932223E-001, 8.5922934E-001, 0.0000000E+000, 3.6500000E-002, 0.0000000E+000, 5.7489822E+002
 1.1459848E+001, 0.0000000E+000,-2.3595068E-002,-2.7997834E-001,-2.8527227E-002,-1.8831840E-002, 1.2097360E+000, 0.0000000E+000, 8.5895332E-001, 8.5880349E-001, 0.0000000E+000, 3.6500000E-002, 0.0000000E+000, 5.7786336E+002
 1.1515750E+001, 0.0000000E+000,-2.3732771E-002,-2.7996360E-001,-2.8687032E-002,-1.8826063E-002, 1.2095728E+000, 0.0000000E+000, 8.5851753E-001, 8.5836336E-001, 0.0000000E+000, 3.6500000E-002, 0.0000000E+000, 5.8082812E+002
 1.1571651E+001, 0.0000000E+000,-2.3816897E-002,-2.7992246E-001,-2.8849896E-002,-1.8863419E-002, 1.2094102E+000, 0.0000000E+000, 8.5808368E-001, 8.5795752E-001, 0.0000000E+000, 3.6500000E-002, 0.0000000E+000, 5.8379249E+002
 1.1627554E+001, 0.0000000E+000,-2.3954509E-002,-2.7989129E-001,-2.9014472E-002,-1.8925319E-002, 1.2092409E+000, 0.0000000E+000, 8.5767374E-001, 8.5745536E-001, 0.0000000E+000, 3.6500000E-002, 0.0000000E+000, 5.8675647E+002
