s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
Time,"temp-1","temp-2","temp-3","temp-4","temp-5","temp-6","temp-7","temp-8","temp-9","temp-10","temp-11","temp-12","temp-13","temp-14","temp-15","vel-1","vel-2","vel-3","vel-4","vel-5","vel-6","vel-7","vel-8","vel-9","vel-10","vel-11","vel-12","vel-13","vel-14","vel-15"
 4.3207506E+001, 2.0249625E+001, 2.0256113E+001, 2.0264938E+001, 2.0252864E+001, 2.0235462E+001, 2.0224615E+001, 2.0702555E+001, 2.4723657E+001, 2.6084667E+001, 2.6547501E+001, 2.3758825E+001, 2.6982609E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 6.8664251E-002, 7.3029860E-002, 7.4214353E-002, 8.6718899E-002, 9.2381378E-002, 9.9664116E-002, 1.3022147E-001, 1.2732924E-001, 2.2955608E-001, 3.2677029E-001, 1.0250824E-001, 6.9061819E-002, 9.9329529E-002, 1.9681663E-002, 6.8511240E-003
 4.5034270E+001, 2.0266655E+001, 2.0272877E+001, 2.0282385E+001, 2.0268949E+001, 2.0250487E+001, 2.0280212E+001, 2.1224482E+001, 2.4927016E+001, 2.5751893E+001, 2.7601020E+001, 2.5135868E+001, 3.0355315E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 6.1403765E-002, 6.5545947E-002, 6.7053340E-002, 7.9411835E-002, 8.4427533E-002, 1.0016530E-001, 1.2903064E-001, 1.4853378E-001, 2.7457074E-001, 3.5226583E-001, 6.4027639E-002, 1.3429061E-001, 1.3496586E-001, 2.6000783E-002, 6.8901353E-003
 4.6874082E+001, 2.0283948E+001, 2.0289832E+001, 2.0299967E+001, 2.0285142E+001, 2.0266583E+001, 2.0395314E+001, 2.1779345E+001, 2.4967937E+001, 2.5708976E+001, 3.1730081E+001, 2.6805258E+001, 2.9775332E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 6.1313835E-002, 6.5253385E-002, 6.7278265E-002, 7.9616668E-002, 8.3724229E-002, 1.1042920E-001, 1.2008018E-001, 1.7660403E-001, 3.2495199E-001, 3.5169958E-001, 7.2517246E-002, 2.1448084E-001, 1.7580320E-001, 2.4885333E-002, 5.2618765E-003
 4.8739991E+001, 2.0301433E+001, 2.0307018E+001, 2.0317871E+001, 2.0301603E+001, 2.0284568E+001, 2.0612856E+001, 2.2236848E+001, 2.5007555E+001, 2.8095659E+001, 3.7990137E+001, 2.7467691E+001, 2.8084595E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 6.3225714E-002, 6.6918112E-002, 6.9685148E-002, 8.2218399E-002, 8.5722308E-002, 1.1896046E-001, 1.0310816E-001, 1.9824003E-001, 3.5359615E-001, 3.0500872E-001, 1.0884451E-001, 2.3401510E-001, 1.4721428E-001, 1.7325771E-002, 4.7687775E-003
 5.0462368E+001, 2.0318263E+001, 2.0323627E+001, 2.0335240E+001, 2.0317784E+001, 2.0304307E+001, 2.0898609E+001, 2.2528975E+001, 2.5572467E+001, 3.2465288E+001, 4.1396351E+001, 2.7191305E+001, 2.7019700E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 5.9096986E-002, 6.2712024E-002, 6.6245009E-002, 7.9152361E-002, 8.2731615E-002, 1.1469115E-001, 8.1896950E-002, 2.0245085E-001, 3.3984209E-001, 2.5965989E-001, 1.4205802E-001, 2.0914138E-001, 1.2283480E-001, 1.0523834E-002, 8.0469971E-003
 5.2328277E+001, 2.0335249E+001, 2.0340434E+001, 2.0352855E+001, 2.0334980E+001, 2.0328640E+001, 2.1161230E+001, 2.2612515E+001, 2.7541565E+001, 3.4842347E+001, 4.1491205E+001, 2.7071479E+001, 2.6519378E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 5.3170210E-002, 5.6882318E-002, 6.1198250E-002, 7.4729963E-002, 7.9228669E-002, 1.0424335E-001, 6.9227929E-002, 2.0142977E-001, 3.1422057E-001, 2.6297918E-001, 1.5608935E-001, 1.7856768E-001, 1.3851574E-001, 9.4062470E-003, 1.5631863E-002
 5.4050655E+001, 2.0352024E+001, 2.0357143E+001, 2.0370324E+001, 2.0353211E+001, 2.0355345E+001, 2.1370701E+001, 2.2617341E+001, 2.9557888E+001, 3.3494627E+001, 4.0122355E+001, 2.7639926E+001, 2.6649853E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 5.1014320E-002, 5.4781920E-002, 5.9913650E-002, 7.4129336E-002, 8.0164206E-002, 9.5966214E-002, 7.2423087E-002, 2.0907341E-001, 3.1014392E-001, 2.9128440E-001, 1.4847318E-001, 1.5853928E-001, 1.9312974E-001, 2.5246932E-002, 2.9492990E-002
 5.5916563E+001, 2.0368774E+001, 2.0373851E+001, 2.0387885E+001, 2.0374210E+001, 2.0382007E+001, 2.1481101E+001, 2.2593731E+001, 3.0459649E+001, 3.0639671E+001, 3.7829224E+001, 2.9179226E+001, 2.7509081E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 4.9155697E-002, 5.2913086E-002, 5.8758212E-002, 7.3585496E-002, 8.1542609E-002, 9.0076976E-002, 8.4541175E-002, 2.2281530E-001, 3.1888942E-001, 3.1420673E-001, 1.3941223E-001, 1.6890240E-001, 2.6001514E-001, 4.1022626E-002, 4.2021697E-002
 5.7682000E+001, 2.0385206E+001, 2.0390223E+001, 2.0405076E+001, 2.0400836E+001, 2.0410544E+001, 2.1514083E+001, 2.2520156E+001, 3.0097935E+001, 2.7741014E+001, 3.4430632E+001, 3.1469442E+001, 2.8991711E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 4.0185364E-002, 4.4307743E-002, 5.0610946E-002, 6.6178275E-002, 7.6679725E-002, 8.2608881E-002, 9.4610743E-002, 2.3206323E-001, 3.1906897E-001, 3.1711494E-001, 1.3688212E-001, 1.9584387E-001, 3.2638498E-001, 5.1080686E-002, 5.0924667E-002
 5.9418731E+001, 2.0399948E+001, 2.0405026E+001, 2.0420611E+001, 2.0428902E+001, 2.0442169E+001, 2.1511993E+001, 2.2404721E+001, 2.8421588E+001, 2.6007169E+001, 3.1149273E+001, 3.3440088E+001, 3.0939820E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.6646408E-002, 3.1747191E-002, 3.7875865E-002, 5.4275785E-002, 6.7863073E-002, 7.5170622E-002, 1.0047062E-001, 2.3429142E-001, 3.0650061E-001, 2.9745308E-001, 1.3573092E-001, 2.2076231E-001, 3.6633903E-001, 6.0425951E-002, 6.0931574E-002
