s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS
 1.1543862E+000, 2.4292535E+002,-8.8242767E+001, 2.4102129E+000,-2.3551672E+000,-1.4747173E-002, 0.0000000E+000, 0.0000000E+000, 1.5462438E+002, 1.5472288E+002, 9.5693611E-001, 6.8105189E-003, 4.7233324E-104
 1.1609017E+000, 2.4300273E+002,-8.6763932E+001, 2.4294043E+000,-2.3522708E+000,-1.4789156E-002, 0.0000000E+000, 0.0000000E+000, 1.5460197E+002, 1.5630114E+002, 9.5945943E-001, 6.8282400E-003, 6.0960933E-104
 1.1674170E+000, 2.4565944E+002,-8.8666660E+001, 2.4398538E+000,-2.3554437E+000,-1.4825124E-002, 0.0000000E+000, 0.0000000E+000, 1.5618896E+002, 1.5706237E+002, 9.6195596E-001, 6.8457724E-003, 7.8572980E-104
 1.1739326E+000, 2.4337839E+002,-8.7496562E+001, 2.4285069E+000,-2.3601914E+000,-1.4864361E-002, 0.0000000E+000, 0.0000000E+000, 1.5694978E+002, 1.5593528E+002, 9.6442591E-001, 6.8631177E-003, 1.0107204E-103
 1.1804479E+000, 2.4728084E+002,-8.8806031E+001, 2.4601420E+000,-2.3542427E+000,-1.4917159E-002, 0.0000000E+000, 0.0000000E+000, 1.5579001E+002, 1.5856579E+002, 9.6686950E-001, 6.8802775E-003, 1.2982055E-103
 1.1869634E+000, 2.4864909E+002,-8.9709088E+001, 2.4648884E+000,-2.3578887E+000,-1.4948620E-002, 0.0000000E+000, 0.0000000E+000, 1.5849731E+002, 1.5903205E+002, 9.6928694E-001, 6.8972531E-003, 1.6644763E-103
 1.1934788E+000, 2.4968092E+002,-9.0433843E+001, 2.4686342E+000,-2.3615579E+000,-1.4985395E-002, 0.0000000E+000, 0.0000000E+000, 1.5898523E+002, 1.5933917E+002, 9.7167846E-001, 6.9140462E-003, 2.1306826E-103
 1.1999943E+000, 2.4965844E+002,-8.9333773E+001, 2.4857196E+000,-2.3647600E+000,-1.5022834E-002, 0.0000000E+000, 0.0000000E+000, 1.5926783E+002, 1.6043060E+002, 9.7404426E-001, 6.9306584E-003, 2.7242672E-103
 1.2065097E+000, 2.5272421E+002,-9.2072363E+001, 2.4913420E+000,-2.3673782E+000,-1.5064633E-002, 0.0000000E+000, 0.0000000E+000, 1.6044638E+002, 1.6076074E+002, 9.7638456E-001, 6.9470910E-003, 3.4773907E-103
 1.2122878E+000, 2.5309622E+002,-9.1081254E+001, 2.5097557E+000,-2.3710684E+000,-1.5096038E-002, 0.0000000E+000, 0.0000000E+000, 1.6083691E+002, 1.6213856E+002, 9.7869957E-001, 6.9615150E-003, 4.3319010E-103
