s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS
 2.9034536E+000, 3.1600933E+002,-1.1352186E+002,-1.9541156E+002,-3.5414174E+000,-1.7909718E-002, 0.0000000E+000, 0.0000000E+000, 3.1126762E+000, 3.5165866E+000, 1.1640090E+000, 8.2629026E-003, 2.0216531E-085
 2.9204669E+000, 3.2391252E+002,-1.1703069E+002,-2.0478713E+002,-3.5768158E+000,-1.7898528E-002, 0.0000000E+000, 0.0000000E+000,-8.6070829E-001,-1.5000047E+000, 1.1642789E+000, 8.2648024E-003, 3.4414834E-085
 2.9417331E+000, 3.2644408E+002,-1.1835882E+002,-2.1375194E+002,-3.6022090E+000,-1.7920759E-002, 0.0000000E+000, 0.0000000E+000,-9.1124450E+000,-9.2868082E+000, 1.1645384E+000, 8.2666287E-003, 5.9671800E-085
 2.9629996E+000, 3.2884937E+002,-1.1923123E+002,-2.2181084E+002,-3.5868679E+000,-1.7908352E-002, 0.0000000E+000, 0.0000000E+000,-1.4804352E+001,-1.5797474E+001, 1.1648156E+000, 8.2685795E-003, 1.1053824E-084
 2.9800129E+000, 3.3087268E+002,-1.1956184E+002,-2.2736695E+002,-3.5691287E+000,-1.7992605E-002, 0.0000000E+000, 0.0000000E+000,-1.9781651E+001,-1.9643233E+001, 1.1650553E+000, 8.2702671E-003, 1.9201796E-084
 3.0012794E+000, 3.3251045E+002,-1.2021048E+002,-2.3172091E+002,-3.6127923E+000,-1.8049382E-002, 0.0000000E+000, 0.0000000E+000,-2.2020572E+001,-2.3051782E+001, 1.1652858E+000, 8.2718894E-003, 3.3635585E-084
 3.0225458E+000, 3.3100116E+002,-1.1990013E+002,-2.3531733E+002,-3.6788604E+000,-1.8122100E-002, 0.0000000E+000, 0.0000000E+000,-2.8003492E+001,-2.7913289E+001, 1.1655320E+000, 8.2736222E-003, 6.2167598E-084
 3.0438123E+000, 3.3014686E+002,-1.1810315E+002,-2.3844877E+002,-3.6980174E+000,-1.8132912E-002, 0.0000000E+000, 0.0000000E+000,-2.9875636E+001,-3.0121213E+001, 1.1657680E+000, 8.2752832E-003, 1.2199034E-083
 3.0608253E+000, 3.3152119E+002,-1.1842867E+002,-2.3947374E+002,-3.7222634E+000,-1.8048641E-002, 0.0000000E+000, 0.0000000E+000,-3.0416335E+001,-3.0121529E+001, 1.1659722E+000, 8.2767201E-003, 2.2122441E-083
 3.0820918E+000, 3.3271019E+002,-1.1927689E+002,-2.3666434E+002,-3.7817631E+000,-1.8007821E-002, 0.0000000E+000, 0.0000000E+000,-2.7377651E+001,-2.7030802E+001, 1.1661684E+000, 8.2781013E-003, 3.9475480E-083
