s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS
 9.1249771E+000, 3.9564793E+000,-8.8231032E-001,-3.2350220E+000,-5.0971255E-002,-2.6003524E-004, 0.0000000E+000, 0.0000000E+000,-2.0043511E-001,-2.1208427E-001, 1.1712124E+000, 9.0821541E-005, 2.5581127E-075
 9.1974001E+000, 3.9576928E+000,-8.9307145E-001,-3.3122511E+000,-5.0334293E-002,-2.6062332E-004, 0.0000000E+000, 0.0000000E+000,-2.8847298E-001,-2.9822465E-001, 1.1712124E+000, 9.0821542E-005, 3.0735526E-075
 9.2456827E+000, 3.9647508E+000,-9.0243522E-001,-3.4082853E+000,-5.0635474E-002,-2.6079631E-004, 0.0000000E+000, 0.0000000E+000,-3.8408662E-001,-3.9686599E-001, 1.1712124E+000, 9.0821542E-005, 3.8469982E-075
 9.3181057E+000, 3.9717541E+000,-8.9383518E-001,-3.5109087E+000,-5.0516672E-002,-2.6123345E-004, 0.0000000E+000, 0.0000000E+000,-4.7667438E-001,-4.8376772E-001, 1.1712124E+000, 9.0821542E-005, 5.8975702E-075
 9.3663883E+000, 3.9680158E+000,-8.9410363E-001,-3.5908858E+000,-5.0854643E-002,-2.6139494E-004, 0.0000000E+000, 0.0000000E+000,-5.6039692E-001,-5.6808969E-001, 1.1712124E+000, 9.0821542E-005, 9.8269400E-075
 9.4412251E+000, 3.9502863E+000,-8.8984388E-001,-3.6291096E+000,-5.1429982E-002,-2.6173172E-004, 0.0000000E+000, 0.0000000E+000,-6.0786572E-001,-6.2035892E-001, 1.1712124E+000, 9.0821543E-005, 2.1168886E-074
 9.4943361E+000, 3.9425085E+000,-8.8595061E-001,-3.6510391E+000,-5.1404417E-002,-2.6157006E-004, 0.0000000E+000, 0.0000000E+000,-6.6604970E-001,-6.4614717E-001, 1.1712124E+000, 9.0821543E-005, 5.3237040E-074
 9.5474463E+000, 3.9600794E+000,-8.6999565E-001,-3.6558458E+000,-5.1548560E-002,-2.6142797E-004, 0.0000000E+000, 0.0000000E+000,-6.4631097E-001,-6.1757203E-001, 1.1712124E+000, 9.0821543E-005, 1.1176450E-073
 9.6005564E+000, 3.9729564E+000,-8.7321935E-001,-3.6399485E+000,-5.1739843E-002,-2.6125822E-004, 0.0000000E+000, 0.0000000E+000,-6.0779782E-001,-5.9221260E-001, 1.1712124E+000, 9.0821543E-005, 2.3774927E-073
 9.6736774E+000, 4.0130866E+000,-8.7283713E-001,-3.5790658E+000,-5.2628942E-002,-2.6122465E-004, 0.0000000E+000, 0.0000000E+000,-5.3241219E-001,-4.9170650E-001, 1.1712124E+000, 9.0821543E-005, 6.4228761E-073
 9.7202435E+000, 4.0152555E+000,-8.7385760E-001,-3.4597858E+000,-5.3129217E-002,-2.6099601E-004, 0.0000000E+000, 0.0000000E+000,-4.0281561E-001,-3.7177807E-001, 1.1712124E+000, 9.0821543E-005, 1.3145567E-072
 9.7900925E+000, 4.0020213E+000,-8.7853924E-001,-3.2830009E+000,-5.4353742E-002,-2.6101999E-004, 0.0000000E+000, 0.0000000E+000,-2.5362710E-001,-2.1413356E-001, 1.1712124E+000, 9.0821543E-005, 2.3217265E-072
 9.8599415E+000, 3.9927887E+000,-8.7479507E-001,-3.0330183E+000,-5.4979249E-002,-2.6134586E-004, 0.0000000E+000, 0.0000000E+000,-2.3918535E-002, 2.9734719E-002, 1.1712124E+000, 9.0821543E-005, 5.1324246E-072
 9.9088364E+000, 3.9679718E+000,-8.6571100E-001,-2.8279288E+000,-5.5760939E-002,-2.6158646E-004, 0.0000000E+000, 0.0000000E+000, 2.0342248E-001, 2.1830953E-001, 1.1712124E+000, 9.0821543E-005, 1.1149942E-071
 9.9600582E+000, 3.9619693E+000,-8.8258433E-001,-2.6898929E+000,-5.6031366E-002,-2.6173922E-004, 0.0000000E+000, 0.0000000E+000, 2.9518425E-001, 3.3319900E-001, 1.1712124E+000, 9.0821543E-005, 1.9137608E-071
 1.0036893E+001, 3.9713363E+000,-8.8369604E-001,-2.5683368E+000,-5.5630037E-002,-2.6148581E-004, 0.0000000E+000, 0.0000000E+000, 4.3737545E-001, 4.6341195E-001, 1.1712124E+000, 9.0821543E-005, 3.3550235E-071
 1.0088115E+001, 3.9838844E+000,-8.9628997E-001,-2.5032429E+000,-5.6217952E-002,-2.6140362E-004, 0.0000000E+000, 0.0000000E+000, 5.1513992E-001, 5.2787212E-001, 1.1712124E+000, 9.0821543E-005, 5.1487113E-071
 1.0164949E+001, 3.9919477E+000,-8.8867697E-001,-2.4832242E+000,-5.6883371E-002,-2.6126579E-004, 0.0000000E+000, 0.0000000E+000, 5.4734097E-001, 5.6290184E-001, 1.1712124E+000, 9.0821543E-005, 7.3465349E-071
 1.0216171E+001, 3.9925888E+000,-8.8327436E-001,-2.4802265E+000,-5.6655329E-002,-2.6098164E-004, 0.0000000E+000, 0.0000000E+000, 5.6885801E-001, 5.7217163E-001, 1.1712124E+000, 9.0821543E-005, 1.0022381E-070
 1.0267394E+001, 3.9931456E+000,-8.7808179E-001,-2.5018407E+000,-5.7277887E-002,-2.6028427E-004, 0.0000000E+000, 0.0000000E+000, 5.5566622E-001, 5.5568498E-001, 1.1712124E+000, 9.0821543E-005, 1.2609899E-070
 1.0344228E+001, 3.9870889E+000,-8.6797984E-001,-2.5693036E+000,-5.7764078E-002,-2.5945697E-004, 0.0000000E+000, 0.0000000E+000, 5.0288971E-001, 4.9178184E-001, 1.1712124E+000, 9.0821544E-005, 1.6435236E-070
 1.0395451E+001, 3.9764187E+000,-8.6308405E-001,-2.6635039E+000,-5.7438839E-002,-2.5982121E-004, 0.0000000E+000, 0.0000000E+000, 4.0697393E-001, 3.9213218E-001, 1.1712124E+000, 9.0821544E-005, 2.0883256E-070
 1.0446673E+001, 3.9677033E+000,-8.6569757E-001,-2.7552744E+000,-5.7631560E-002,-2.6020847E-004, 0.0000000E+000, 0.0000000E+000, 3.1009775E-001, 2.8883965E-001, 1.1712124E+000, 9.0821544E-005, 2.4993471E-070
 1.0523507E+001, 3.9598548E+000,-8.6113948E-001,-2.8923387E+000,-5.8334380E-002,-2.6103549E-004, 0.0000000E+000, 0.0000000E+000, 1.7386752E-001, 1.4778114E-001, 1.1712124E+000, 9.0821544E-005, 3.1250431E-070
 1.0574730E+001, 3.9619475E+000,-8.6695748E-001,-3.0470624E+000,-5.8647274E-002,-2.6132779E-004, 0.0000000E+000, 0.0000000E+000, 1.6215026E-002,-1.0980980E-002, 1.1712124E+000, 9.0821544E-005, 3.9712565E-070
 1.0625953E+001, 3.9589929E+000,-8.7034495E-001,-3.1630933E+000,-5.7962088E-002,-2.6148848E-004, 0.0000000E+000, 0.0000000E+000,-1.0948619E-001,-1.3266898E-001, 1.1712124E+000, 9.0821544E-005, 4.9883054E-070
 1.0702786E+001, 3.9549060E+000,-8.5977140E-001,-3.2726183E+000,-5.8368780E-002,-2.6076378E-004, 0.0000000E+000, 0.0000000E+000,-2.2737666E-001,-2.3611324E-001, 1.1712124E+000, 9.0821544E-005, 7.0269740E-070
 1.0754009E+001, 3.9430441E+000,-8.5436301E-001,-3.3343973E+000,-5.7947014E-002,-2.5984693E-004, 0.0000000E+000, 0.0000000E+000,-3.0233903E-001,-3.0392308E-001, 1.1712124E+000, 9.0821544E-005, 1.0271781E-069
 1.0805232E+001, 3.9351319E+000,-8.5010188E-001,-3.3328679E+000,-5.9182398E-002,-2.5973166E-004, 0.0000000E+000, 0.0000000E+000,-3.1656944E-001,-3.0728001E-001, 1.1712124E+000, 9.0821544E-005, 1.4298316E-069
 1.0882066E+001, 3.9306628E+000,-8.5375512E-001,-3.2753247E+000,-5.9380568E-002,-2.5943453E-004, 0.0000000E+000, 0.0000000E+000,-2.8093698E-001,-2.5805707E-001, 1.1712124E+000, 9.0821544E-005, 2.2006729E-069
 1.0933289E+001, 3.9354999E+000,-8.5059609E-001,-3.1825702E+000,-5.9551281E-002,-2.5916977E-004, 0.0000000E+000, 0.0000000E+000,-1.8445487E-001,-1.5747681E-001, 1.1712124E+000, 9.0821544E-005, 3.3224305E-069
 1.0984510E+001, 3.9416781E+000,-8.5327169E-001,-3.1197260E+000,-6.0661027E-002,-2.5879581E-004, 0.0000000E+000, 0.0000000E+000,-1.1425665E-001,-9.2239435E-002, 1.1712124E+000, 9.0821544E-005, 4.5516686E-069
 1.1061345E+001, 3.9510440E+000,-8.5781338E-001,-3.0923049E+000,-6.0382527E-002,-2.5834704E-004, 0.0000000E+000, 0.0000000E+000,-6.5542529E-002,-5.9715123E-002, 1.1712124E+000, 9.0821544E-005, 6.6884373E-069
