s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
Time,"temp-1","temp-2","temp-3","temp-4","temp-5","temp-6","temp-7","temp-8","temp-9","temp-10","temp-11","temp-12","temp-13","temp-14","temp-15","vel-1","vel-2","vel-3","vel-4","vel-5","vel-6","vel-7","vel-8","vel-9","vel-10","vel-11","vel-12","vel-13","vel-14","vel-15"
 3.6347446E+001, 2.0364704E+001, 2.0233998E+001, 2.0233998E+001, 2.0207973E+001, 2.0180518E+001, 2.0153551E+001, 2.0153551E+001, 2.0124634E+001, 2.0132536E+001, 2.0132536E+001, 2.0936907E+001, 2.1105028E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.1813642E-002, 2.0009420E-002, 2.0009420E-002, 2.4263797E-002, 2.7075788E-002, 3.6787495E-002, 3.6787495E-002, 3.6843716E-002, 6.7768905E-002, 6.7768905E-002, 8.1261157E-002, 7.9608397E-002, 7.9608397E-002, 7.9608397E-002, 1.1889969E-002
 3.8163419E+001, 2.0386758E+001, 2.0245672E+001, 2.0245672E+001, 2.0219534E+001, 2.0191159E+001, 2.0162677E+001, 2.0162677E+001, 2.0134159E+001, 2.0310188E+001, 2.0310188E+001, 2.2244028E+001, 2.1590319E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 6.9244383E-003, 1.1091932E-002, 1.1091932E-002, 2.0015758E-002, 3.2725354E-002, 5.3525803E-002, 5.3525803E-002, 5.7840436E-002, 1.0720786E-001, 1.0720786E-001, 1.0979357E-001, 1.0036122E-001, 1.0036122E-001, 1.0036122E-001, 8.9795693E-003
 3.9979392E+001, 2.0411239E+001, 2.0258632E+001, 2.0258632E+001, 2.0232434E+001, 2.0202747E+001, 2.0172640E+001, 2.0172640E+001, 2.0150573E+001, 2.0935023E+001, 2.0935023E+001, 2.3845259E+001, 2.2075738E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 3.0879702E-002, 3.5818205E-002, 3.5818205E-002, 4.2214441E-002, 5.6846024E-002, 8.0958403E-002, 8.0958403E-002, 9.1029445E-002, 1.5180030E-001, 1.5180030E-001, 1.2653415E-001, 1.1028542E-001, 1.1028542E-001, 1.1028542E-001, 6.2998219E-003
 4.1795366E+001, 2.0438622E+001, 2.0272947E+001, 2.0272947E+001, 2.0246867E+001, 2.0215090E+001, 2.0184261E+001, 2.0184261E+001, 2.0218739E+001, 2.2299703E+001, 2.2299703E+001, 2.5276708E+001, 2.2569863E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 5.8314598E-002, 6.3538351E-002, 6.3538351E-002, 6.9859567E-002, 8.5640886E-002, 1.1206596E-001, 1.1206596E-001, 1.2929981E-001, 1.9421533E-001, 1.9421533E-001, 1.2898778E-001, 1.0979571E-001, 1.0979571E-001, 1.0979571E-001, 6.2262807E-003
 4.3611339E+001, 2.0469026E+001, 2.0288905E+001, 2.0288905E+001, 2.0262939E+001, 2.0228295E+001, 2.0198661E+001, 2.0198661E+001, 2.0480301E+001, 2.4325382E+001, 2.4325382E+001, 2.6300119E+001, 2.3059045E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 8.0387619E-002, 8.5852646E-002, 8.5852646E-002, 9.2732215E-002, 1.1059663E-001, 1.4094563E-001, 1.4094563E-001, 1.6824962E-001, 2.2391126E-001, 2.2391126E-001, 1.1844087E-001, 9.7647270E-002, 9.7647270E-002, 9.7647270E-002, 8.2244647E-003
 4.5472712E+001, 2.0502344E+001, 2.0306567E+001, 2.0306567E+001, 2.0280362E+001, 2.0242612E+001, 2.0219852E+001, 2.0219852E+001, 2.1193223E+001, 2.6436806E+001, 2.6436806E+001, 2.6911100E+001, 2.3550565E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 9.4797775E-002, 1.0020694E-001, 1.0020694E-001, 1.0725175E-001, 1.2700868E-001, 1.6236161E-001, 1.6236161E-001, 2.0145317E-001, 2.2884922E-001, 2.2884922E-001, 1.0097984E-001, 7.5757557E-002, 7.5757557E-002, 7.5757557E-002, 8.0635675E-003
 4.6970890E+001, 2.0534510E+001, 2.0323856E+001, 2.0323856E+001, 2.0296732E+001, 2.0256904E+001, 2.0269922E+001, 2.0269922E+001, 2.2392188E+001, 2.8077155E+001, 2.8077155E+001, 2.7118333E+001, 2.3979723E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 1.0167481E-001, 1.0697288E-001, 1.0697288E-001, 1.1383457E-001, 1.3450739E-001, 1.7363172E-001, 1.7363172E-001, 2.1910531E-001, 2.0447921E-001, 2.0447921E-001, 9.0097436E-002, 4.8667511E-002, 4.8667511E-002, 4.8667511E-002, 6.6654807E-003
 4.8968460E+001, 2.0568449E+001, 2.0342346E+001, 2.0342346E+001, 2.0313483E+001, 2.0273007E+001, 2.0433103E+001, 2.0433103E+001, 2.4002658E+001, 2.9306122E+001, 2.9306122E+001, 2.7092565E+001, 2.4415940E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 1.0007956E-001, 1.0561949E-001, 1.0561949E-001, 1.1290228E-001, 1.3491852E-001, 1.7759988E-001, 1.7759988E-001, 2.1860628E-001, 1.5318146E-001, 1.5318146E-001, 9.8432030E-002, 1.7860210E-002, 1.7860210E-002, 1.7860210E-002, 5.5726432E-003
 5.0466638E+001, 2.0602158E+001, 2.0361017E+001, 2.0361017E+001, 2.0330064E+001, 2.0290667E+001, 2.0767040E+001, 2.0767040E+001, 2.5653754E+001, 2.9981984E+001, 2.9981984E+001, 2.6788517E+001, 2.5032150E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 9.0211339E-002, 9.6293863E-002, 9.6293863E-002, 1.0471615E-001, 1.2901307E-001, 1.7581163E-001, 1.7581163E-001, 2.0253424E-001, 1.0219316E-001, 1.0219316E-001, 1.1904839E-001, 1.8059228E-002, 1.8059228E-002, 1.8059228E-002, 7.3248250E-003
 5.2464209E+001, 2.0634650E+001, 2.0379452E+001, 2.0379452E+001, 2.0346336E+001, 2.0311834E+001, 2.1347065E+001, 2.1347065E+001, 2.6997778E+001, 3.0102258E+001, 3.0102258E+001, 2.6314016E+001, 2.6037821E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 7.5379113E-002, 8.2067531E-002, 8.2067531E-002, 9.1783200E-002, 1.1849409E-001, 1.6947450E-001, 1.6947450E-001, 1.7747299E-001, 9.1099134E-002, 9.1099134E-002, 1.3228609E-001, 3.9640719E-002, 3.9640719E-002, 3.9640719E-002, 1.0030429E-002
